2026-03-17 17:03:37,356 | INFO     | __main__ | =======================================================
2026-03-17 17:03:37,358 | INFO     | __main__ | Preprocessing: ensuring dataset split ...
2026-03-17 17:03:37,359 | INFO     | __main__ | [preprocess] Splitting raw data from ../palm_split ...
2026-03-17 17:03:57,191 | INFO     | __main__ |   Class 'anemia': finished with 2049 original train images.
2026-03-17 17:04:09,175 | INFO     | __main__ |   Class 'non_anemia': physically augmenting 1358 images to reach 2000...
2026-03-17 17:04:22,970 | INFO     | __main__ |   Class 'non_anemia': reached 2000 images in 'train'.
2026-03-17 17:04:25,752 | INFO     | __main__ |   Class 'non_anemia': finished with 1358 original train images.
2026-03-17 17:04:25,753 | INFO     | __main__ | [preprocess] Dataset split and physical offline augmentation complete.
2026-03-17 17:04:25,753 | INFO     | __main__ | Preprocessing: validating dataset directories …
2026-03-17 17:04:25,753 | INFO     | __main__ | [preprocess] train: 2 classes found in '../data/processed1\train'.
2026-03-17 17:04:25,755 | INFO     | __main__ | [preprocess] val: 2 classes found in '../data/processed1\val'.
2026-03-17 17:04:25,755 | INFO     | __main__ | [preprocess] test: 2 classes found in '../data/processed1\test'.
2026-03-17 17:04:25,755 | INFO     | __main__ | Discovering training classes …
2026-03-17 17:04:25,761 | INFO     | __main__ |   Class 'anemia': 2000 images total in dataset split.
2026-03-17 17:04:25,771 | INFO     | __main__ |   Class 'non_anemia': 2000 images total in dataset split.
2026-03-17 17:04:25,771 | INFO     | __main__ | Discovering validation classes …
2026-03-17 17:04:25,773 | INFO     | __main__ |   Class 'anemia': 256 images total in dataset split.
2026-03-17 17:04:25,773 | INFO     | __main__ |   Class 'non_anemia': 169 images total in dataset split.
2026-03-17 17:04:25,773 | INFO     | __main__ | Discovering test classes …
2026-03-17 17:04:25,774 | INFO     | __main__ |   Class 'anemia': 257 images total in dataset split.
2026-03-17 17:04:25,776 | INFO     | __main__ |   Class 'non_anemia': 171 images total in dataset split.
2026-03-17 17:04:25,870 | INFO     | __main__ | Advanced augmentation enabled for training set.
