2026-03-17 17:55:17,921 | INFO     | __main__ | =======================================================
2026-03-17 17:55:17,922 | INFO     | __main__ | Preprocessing: ensuring dataset split ...
2026-03-17 17:55:17,923 | INFO     | __main__ | [preprocess] Split data already exists. Skipping split.
2026-03-17 17:55:17,923 | INFO     | __main__ | Preprocessing: validating dataset directories …
2026-03-17 17:55:17,924 | INFO     | __main__ | [preprocess] train: 2 classes found in '../data/processed1\train'.
2026-03-17 17:55:17,924 | INFO     | __main__ | [preprocess] val: 2 classes found in '../data/processed1\val'.
2026-03-17 17:55:17,926 | INFO     | __main__ | [preprocess] test: 2 classes found in '../data/processed1\test'.
2026-03-17 17:55:17,926 | INFO     | __main__ | Discovering training classes …
2026-03-17 17:55:17,953 | INFO     | __main__ |   Class 'anemia': 2000 images total in dataset split.
2026-03-17 17:55:17,986 | INFO     | __main__ |   Class 'non_anemia': 2000 images total in dataset split.
2026-03-17 17:55:17,986 | INFO     | __main__ | Discovering validation classes …
2026-03-17 17:55:18,026 | INFO     | __main__ |   Class 'anemia': 256 images total in dataset split.
2026-03-17 17:55:18,042 | INFO     | __main__ |   Class 'non_anemia': 169 images total in dataset split.
2026-03-17 17:55:18,042 | INFO     | __main__ | Discovering test classes …
2026-03-17 17:55:18,049 | INFO     | __main__ |   Class 'anemia': 257 images total in dataset split.
2026-03-17 17:55:18,050 | INFO     | __main__ |   Class 'non_anemia': 171 images total in dataset split.
2026-03-17 17:55:18,050 | INFO     | __main__ | Advanced augmentation enabled for training set.
