2026-03-17 17:12:36,457 | INFO     | __main__ | =======================================================
2026-03-17 17:12:36,458 | INFO     | __main__ | Preprocessing: ensuring dataset split ...
2026-03-17 17:12:36,458 | INFO     | __main__ | [preprocess] Splitting raw data from ../palm_split ...
2026-03-17 17:12:39,653 | INFO     | __main__ |   Class 'anemia': finished with 2000 original train images.
2026-03-17 17:12:41,609 | INFO     | __main__ |   Class 'non_anemia': physically augmenting 1358 images to reach 2000...
2026-03-17 17:12:49,959 | INFO     | __main__ |   Class 'non_anemia': reached 2000 images in 'train'.
2026-03-17 17:12:53,988 | INFO     | __main__ |   Class 'non_anemia': finished with 1358 original train images.
2026-03-17 17:12:53,989 | INFO     | __main__ | [preprocess] Dataset split and physical offline augmentation complete.
2026-03-17 17:12:53,991 | INFO     | __main__ | Preprocessing: validating dataset directories …
2026-03-17 17:12:53,991 | INFO     | __main__ | [preprocess] train: 2 classes found in '../data/processed1\train'.
2026-03-17 17:12:53,991 | INFO     | __main__ | [preprocess] val: 2 classes found in '../data/processed1\val'.
2026-03-17 17:12:53,991 | INFO     | __main__ | [preprocess] test: 2 classes found in '../data/processed1\test'.
2026-03-17 17:12:53,991 | INFO     | __main__ | Discovering training classes …
2026-03-17 17:12:53,999 | INFO     | __main__ |   Class 'anemia': 2000 images total in dataset split.
2026-03-17 17:12:54,005 | INFO     | __main__ |   Class 'non_anemia': 2000 images total in dataset split.
2026-03-17 17:12:54,006 | INFO     | __main__ | Discovering validation classes …
2026-03-17 17:12:54,006 | INFO     | __main__ |   Class 'anemia': 256 images total in dataset split.
2026-03-17 17:12:54,008 | INFO     | __main__ |   Class 'non_anemia': 169 images total in dataset split.
2026-03-17 17:12:54,008 | INFO     | __main__ | Discovering test classes …
2026-03-17 17:12:54,009 | INFO     | __main__ |   Class 'anemia': 257 images total in dataset split.
2026-03-17 17:12:54,009 | INFO     | __main__ |   Class 'non_anemia': 171 images total in dataset split.
2026-03-17 17:12:54,010 | INFO     | __main__ | Advanced augmentation enabled for training set.
