class,precision,recall,f1_score,support
Mild,0.8583815028901735,0.594,0.7021276595744681,1000
Moderate,0.4483412322274882,0.946,0.6083601286173633,1000
No_DR,0.8902877697841727,0.99,0.9375,1000
Proliferate_DR,0.8417508417508418,0.5,0.6273525721455459,1000
Severe,0.9065040650406504,0.446,0.5978552278820375,1000
