class,precision,recall,f1_score,support
Mild,0.9270334928229665,0.775,0.8442265795206971,1000
Moderate,0.6836363636363636,0.94,0.791578947368421,1000
No_DR,0.9546332046332047,0.989,0.9715127701375246,1000
Proliferate_DR,0.8778877887788779,0.798,0.8360398114195914,1000
Severe,0.9241706161137441,0.78,0.8459869848156182,1000
