class,precision,recall,f1_score,support
Mild,0.8976930792377131,0.895,0.8963445167751627,1000
Moderate,0.7147239263803681,0.932,0.8090277777777778,1000
No_DR,0.9536679536679536,0.988,0.9705304518664047,1000
Proliferate_DR,0.93375,0.747,0.83,1000
Severe,0.9385863267670915,0.81,0.8695652173913043,1000
